TeamName,Player,Pos,Exp,Options                 Minor,Status,Payroll Salary,Payroll Salary                 Adjusted,Base Salary,Signing Bonus
Atlanta Braves,Olson                   Matt Olson,1B,6.103,0,Veteran,22000000.00,22000000.00,22000000.00,-
Atlanta Braves,Morton                   Charlie Morton,SP,15.01,0,Veteran,20000000.00,20000000.00,20000000.00,-
Atlanta Braves,Sale                   Chris Sale,SP,13.061,0,Veteran,17100000.00,-,16000000.00,-
Atlanta Braves,Iglesias                   Raisel Iglesias,RP,8.154,0,Veteran,16000000.00,16000000.00,16000000.00,-
Atlanta Braves,Ozuna                   Marcell Ozuna,DH,10.124,0,Veteran,16000000.00,16000000.00,16000000.00,-
Atlanta Braves,Fried                   Max Fried,SP,5.148,0,Arbitration 4 (S2),15000000.00,15000000.00,15000000.00,-
Atlanta Braves,Soler                   Jorge Soler,RF,8.143,0,Veteran,10000000.00,2370968.00,7000000.00,3000000.00
Atlanta Braves,Murphy                   Sean Murphy,C,4.029,0,Arbitration 2,9000000.00,9000000.00,9000000.00,-
Atlanta Braves,d'Arnaud                   Travis d'Arnaud,C,10.044,0,Veteran,8000000.00,8000000.00,8000000.00,-
Atlanta Braves,Jimenez                   Joe Jimenez,RP,6.061,0,Veteran,8000000.00,8000000.00,8000000.00,-
Atlanta Braves,Albies                   Ozzie Albies,2B,6.062,0,Veteran,7000000.00,7000000.00,7000000.00,-
Atlanta Braves,Johnson                   Pierce Johnson,RP,4.137,0,Veteran,7000000.00,7000000.00,7000000.00,-
Atlanta Braves,Jackson                   Luke Jackson,RP,7.019,0,Veteran,6500000.00,2131706.00,6500000.00,-
Atlanta Braves,Bummer                   Aaron Bummer,RP,5.15,0,Arbitration 4 Bypassed,5500000.00,5500000.00,5500000.00,-
Atlanta Braves,Harris II                   Michael Harris II,CF,2,3,Pre-Arbitration Bypassed,5000000.00,5000000.00,5000000.00,-
Atlanta Braves,López                   Reynaldo López,SP,6.004,0,Veteran,4000000.00,4000000.00,4000000.00,-
Atlanta Braves,Duvall                   Adam Duvall,RF,7.151,0,Veteran,3000000.00,3000000.00,3000000.00,-
Atlanta Braves,Arcia                   Orlando Arcia,SS,6.114,0,Veteran,2000000.00,2000000.00,2000000.00,-
Atlanta Braves,Lee                   Dylan Lee,RP,1.15,2,Pre-Arbitration,760000.00,719136.00,760000.00,-
Atlanta Braves,Kelenic                   Jarred Kelenic,LF,1.169,1,Pre-Arbitration,760000.00,760000.00,760000.00,-
Atlanta Braves,Hernández                   Daysbel Hernández,RP,0.071,1,Pre-Arbitration,740000.00,159139.00,740000.00,-
Atlanta Braves,Urshela                   Giovanny Urshela,3B,6.127,0,Veteran,740000.00,163098.00,740000.00,-
Atlanta Braves,White                   Eli White,OF,2.087,0,Pre-Arbitration,740000.00,202878.00,740000.00,-
Atlanta Braves,Merrifield                   Whit Merrifield,2B,7.101,0,Veteran,740000.00,274482.00,740000.00,-
Atlanta Braves,Holmes                   Grant Holmes,RP,,0,Pre-Arbitration,740000.00,417690.00,740000.00,-
Atlanta Braves,Laureano                   Ramon Laureano,LF,4.165,0,Arbitration 3,740000.00,421668.00,740000.00,-
Atlanta Braves,Schwellenbach                   Spencer Schwellenbach,SP,,3,Pre-Arbitration,740000.00,493333.00,740000.00,-
Atlanta Braves,Chavez                   Jesse Chavez,RP,13.038,0,Veteran,740000.00,740000.00,740000.00,-
Atlanta Braves,Riley                   Austin Riley,3B,4.138,0,Arbitration 3 Bypassed,21000000.00,21000000.00,21000000.00,-
Atlanta Braves,Acuña Jr.                   Ronald Acuña Jr.,RF,5.159,0,Arbitration 4 Bypassed,17000000.00,17000000.00,17000000.00,-
Atlanta Braves,Minter                   A.J. Minter,RP,5.154,0,Arbitration 4 (S2),6220000.00,6220000.00,6220000.00,-
Atlanta Braves,Strider                   Spencer Strider,SP,2.003,3,Pre-Arbitration Bypassed,1000000.00,1000000.00,1000000.00,-
Atlanta Braves,Ynoa                   Huascar Ynoa,SP,3.011,1,Arbitration 1,825000.00,825000.00,825000.00,-
Atlanta Braves,Kerr                   Ray Kerr,RP,0.109,1,Pre-Arbitration,740000.00,243814.00,740000.00,-
Atlanta Braves,Perdomo                   Angel Perdomo,RP,1.131,0,Pre-Arbitration,740000.00,740000.00,740000.00,-
Arizona Diamondbacks,Montgomery                   Jordan Montgomery,SP,6.153,0,Veteran,25000000.00,25000000.00,25000000.00,-
Arizona Diamondbacks,Bell                   Josh Bell,1B,7.053,0,Veteran,16500000.00,2250000.00,16500000.00,-
Arizona Diamondbacks,Rodriguez                   Eduardo Rodriguez,SP,8.07,0,Veteran,14000000.00,14000000.00,14000000.00,-
Arizona Diamondbacks,Marte                   Ketel Marte,2B,7.162,0,Veteran,13600000.00,13600000.00,13000000.00,600000.00
Arizona Diamondbacks,Suarez                   Eugenio Suarez,3B,9.061,0,Veteran,11285716.00,11285716.00,11000000.00,285716.00
Arizona Diamondbacks,Walker                   Christian Walker,1B,5.124,0,Arbitration 3,10900000.00,10900000.00,10900000.00,-
Arizona Diamondbacks,Gallen                   Zac Gallen,SP,4.1,0,Arbitration 2,10011000.00,10011000.00,10011000.00,-
Arizona Diamondbacks,Gurriel Jr.                   Lourdes Gurriel Jr.,LF,5.094,0,Veteran,10000000.00,10000000.00,10000000.00,-
Arizona Diamondbacks,Pederson                   Joc Pederson,DH,9.028,0,Veteran,9500000.00,9500000.00,9500000.00,-
Arizona Diamondbacks,Kelly                   Merrill Kelly,SP,5,0,Veteran,8500000.00,8500000.00,8000000.00,500000.00
Arizona Diamondbacks,Carroll                   Corbin Carroll,RF,1.038,3,Pre-Arbitration Bypassed,3625000.00,3625000.00,3000000.00,625000.00
Arizona Diamondbacks,McGough                   Scott McGough,RP,1.046,0,Veteran,3000000.00,3000000.00,3000000.00,-
Arizona Diamondbacks,Puk                   A.J. Puk,RP,3.124,2,Arbitration 1,1800000.00,638710.00,1800000.00,-
